Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,キャリア,騎手,人気,着順,頭数,種牡馬,母父馬,馬主(最新/仮想),生産者,毛色,馬記号,生年月日,市場取引価格(万/最終),取引市場(最終),産地
,240406,3中5,11,ニュージG2,ボンドガール,,牝,3,2,武豊,1,２,16,ダイワメジャー,Tizway,藤田晋,ノーザンファーム,鹿毛,,2021. 1.19,23100万,セレクトセール,安平町
,240406,3中5,11,ニュージG2,ユキノロイヤル,,牡,3,5,石橋脩,9,３,16,ディーマジェスティ,タイキシャトル,井上基之,服部牧場,鹿毛,,2021. 3.19,,,新ひだか町
,240406,3中5,11,ニュージG2,カズミクラーシュ,,牡,3,4,菅原明良,5,４,16,モーリス,キングカメハメハ,吉田和美,ノーザンファーム,鹿毛,,2021. 1.26,7040万,セレクトセール,安平町
,240406,3中5,11,ニュージG2,ドリーミングアップ,,牡,3,8,吉田豊,12,５,16,エピファネイア,ディープインパクト,古賀和夫,宮内牧場,栗毛,,2021. 5.10,2420万,北海道サマーセール,浦河町
,240406,3中5,11,ニュージG2,クリーンエア,,牡,3,5,松岡正海,16,６,16,リアルインパクト,"Street Cry",ゴドルフィン,ダーレー・ジャパン・ファーム,青鹿,,2021. 3.18,,,日高町
,240406,3中5,11,ニュージG2,エイムフォーエース,,牡,3,7,森泰斗,15,７,16,サトノアラジン,ジャングルポケット,KHレーシング,千代田牧場,鹿毛,[地],2021. 5.12,1210万,千葉サラブレッドセール,新ひだか町
,240406,3中5,11,ニュージG2,オーサムストローク,,牡,3,5,田辺裕信,10,８,16,エピファネイア,Frankel,ライオンレースホース,秋場牧場,鹿毛,,2021. 2.21,,,浦河町
,240406,3中5,11,ニュージG2,エンヤラヴフェイス,,牡,3,6,北村宏司,8,９,16,エイシンヒカリ,"Devil's Bag",STレーシング,チャンピオンズファーム,黒鹿,,2021. 3.14,,,新ひだか町
,240406,3中5,11,ニュージG2,スパークリシャール,,牡,3,6,浜中俊,6,10,16,スワーヴリチャード,シンボリクリスエス,西見徹也,ノーザンファーム,鹿毛,,2021. 3. 9,,,安平町
,240406,3中5,11,ニュージG2,ルージュスエルテ,,牝,3,4,横山和生,4,11,16,ハーツクライ,"Storm Cat",東京ホースレーシング,ノーザンファーム,黒鹿,,2021. 2.16,,,安平町
,240406,3中5,11,ニュージG2,シャインズオンユー,,牡,3,3,石川裕紀,13,12,16,サトノクラウン,ファスリエフ,ノルマンディーサラブレッドレーシング,岡田スタツド,鹿毛,,2021. 3.20,,,新ひだか町
,240406,3中5,11,ニュージG2,サトミノキラリ,,牡,3,5,内田博幸,11,13,16,ビッグアーサー,ディープインパクト,田代洋己,下河辺牧場,鹿毛,,2021. 2.24,,,日高町
,240406,3中5,11,ニュージG2,デビッドテソーロ,,牡,3,10,原優介,14,14,16,スワーヴリチャード,Camelot,了徳寺健二ホールディングス,リョーケンファーム,鹿毛,,2021. 3. 3,,,日高町
,240406,3中5,11,ニュージG2,ブライトマン,,牡,3,4,三浦皇成,7,15,16,キズナ,"Kitten's Joy",前田幸貴,社台ファーム,黒鹿,,2021. 4.23,7040万,セレクトセール,千歳市
,240406,3中5,11,ニュージG2,キャプテンシー,,牡,3,5,Ｍ．デム,2,16,16,モーリス,ステイゴールド,サンデーレーシング,ノーザンファーム,鹿毛,,2021. 3. 9,,,安平町
,230408,3中5,11,ニュージG2,エエヤン,,牡,3,4,Ｍ．デム,2,１,16,シルバーステート,ティンバーカントリー,ニッシンホールディングス,須崎牧場,黒鹿,,2020. 4.21,4510万,北海道セレクションセール,新冠町
,230408,3中5,11,ニュージG2,ウンブライル,,牝,3,4,ルメール,5,２,16,ロードカナロア,ファルブラヴ,サンデーレーシング,ノーザンファーム,鹿毛,,2020. 1.16,,,安平町
,230408,3中5,11,ニュージG2,シャンパンカラー,,牡,3,3,内田博幸,7,３,16,ドゥラメンテ,"Reckless Abandon",青山洋一,社台ファーム,栗毛,,2020. 3. 3,,,千歳市
,230408,3中5,11,ニュージG2,モリアーナ,,牝,3,4,武藤雅,3,４,16,エピファネイア,ダイワメジャー,高橋文男,ノーザンファーム,鹿毛,,2020. 3. 2,3300万,セレクトセール,安平町
,230408,3中5,11,ニュージG2,ミシシッピテソーロ,,牝,3,6,柴田大知,14,５,16,ダノンバラード,"A.P. Indy",了徳寺健二ホールディングス,リョーケンファーム,鹿毛,,2020. 3.25,,,日高町
,230408,3中5,11,ニュージG2,ルミノメテオール,,牝,3,3,横山武史,4,６,16,エピファネイア,フォーティナイナー,尾上松壽,タイヘイ牧場,黒鹿,,2020. 3.31,1210万,八戸市場,新ひだか町
,230408,3中5,11,ニュージG2,ドルチェモア,,牡,3,3,横山和生,1,７,16,ルーラーシップ,ディープインパクト,スリーエイチレーシング,下河辺牧場,鹿毛,,2020. 2.21,,,日高町
,230408,3中5,11,ニュージG2,ジョウショーホープ,,牡,3,7,荻野極,13,８,16,ミッキーロケット,アグネスデジタル,熊田義孝,福岡駿弥,鹿毛,,2020. 3. 9,715万,北海道サマーセール,新ひだか町
,230408,3中5,11,ニュージG2,エイシンエイト,,牝,3,12,津村明秀,16,９,16,エーシントップ,ハーツクライ,栄進堂,水丸牧場,鹿毛,(地),2020. 1.25,,,新ひだか町
,230408,3中5,11,ニュージG2,シーウィザード,,牡,3,6,武豊,10,10,16,ビーチパトロール,メジロベイリー,岡田牧雄,シンボリ牧場,鹿毛,,2020. 4. 7,330万,北海道サマーセール,日高町
,230408,3中5,11,ニュージG2,メイクアスナッチ,,牝,3,3,戸崎圭太,6,11,16,ルーラーシップ,ディープインパクト,シルクレーシング,社台コーポレーション白老ファーム,黒鹿,,2020. 2.22,,,白老町
,230408,3中5,11,ニュージG2,バグラダス,,牡,3,5,三浦皇成,9,12,16,マジェスティックウォリアー,ディープインパクト,村田牧場,村田牧場,鹿毛,,2020. 1.20,,,新冠町
,230408,3中5,11,ニュージG2,ミスヨコハマ,,牝,3,8,石橋脩,15,13,16,カレンブラックヒル,Blame,大野富生,ノーザンファーム,黒鹿,,2020. 2.20,1760万,セレクトセール,安平町
,230408,3中5,11,ニュージG2,オマツリオトコ,,牡,3,6,永野猛蔵,12,14,16,ヴィットリオドーロ,スマートボーイ,是枝浩平,グランド牧場,芦毛,,2020. 1.31,1430万,北海道サマーセール,新ひだか町
,230408,3中5,11,ニュージG2,サンライズジーク,,牡,3,5,坂井瑠星,8,15,16,エピファネイア,フレンチデピュティ,ライフハウス,社台ファーム,鹿毛,,2020. 5.15,3960万,セレクトセール,千歳市
,230408,3中5,11,ニュージG2,ロードディフィート,,牡,3,6,田辺裕信,11,16,16,デクラレーションオブウォー,ダイワメジャー,ロードホースクラブ,藤本ファーム,鹿毛,,2020. 2.28,1870万,北海道サマーセール,日高町
,220409,3中5,11,ニュージG2,ジャングロ,,牡,3,7,武豊,3,１,11,"More Than Ready","Broad Brush",藤田晋,"Nursery Place & Partners",黒鹿,(外),2019. 3. 2,,,米
,220409,3中5,11,ニュージG2,マテンロウオリオン,,牡,3,3,横山典弘,1,２,11,ダイワメジャー,キングカメハメハ,寺田千代乃,ムラカミファーム,黒鹿,,2019. 2.20,,,新冠町
,220409,3中5,11,ニュージG2,リューベック,,牡,3,4,吉田隼人,6,３,11,ハービンジャー,スペシャルウィーク,金子真人ホールディングス,ノーザンファーム,鹿毛,,2019. 4.16,6600万,セレクトセール,安平町
,220409,3中5,11,ニュージG2,エンペザー,,牡,3,5,坂井瑠星,7,４,11,ロードカナロア,シンボリクリスエス,リーヴァ,上村清志,鹿毛,,2019. 3. 9,2200万,北海道セレクションセール,新ひだか町
,220409,3中5,11,ニュージG2,ティーガーデン,,牡,3,4,ルメール,2,５,11,ドゥラメンテ,シンボリクリスエス,サンデーレーシング,ノーザンファーム,黒鹿,,2019. 3.18,,,安平町
,220409,3中5,11,ニュージG2,エイシンシュトルム,,牡,3,9,石川裕紀,10,６,11,エイシンヒカリ,Tapit,栄進堂,栄進牧場,芦毛,(地),2019. 3.11,,,浦河町
,220409,3中5,11,ニュージG2,デルマグレムリン,,牡,3,5,Ｍ．デム,4,７,11,ディーマジェスティ,フォーティナイナー,浅沼廣幸,岡田牧場,栗毛,,2019. 5.11,550万,北海道セプテンバーセール,新ひだか町
,220409,3中5,11,ニュージG2,サーマルウインド,,牝,3,4,岩田康誠,8,８,11,ドレフォン,スペシャルウィーク,キャロットファーム,ノーザンファーム,鹿毛,,2019. 3. 2,3132万,セレクトセール,安平町
,220409,3中5,11,ニュージG2,アバンチュリエ,,牡,3,5,横山武史,5,９,11,モーリス,ディープインパクト,DMMドリームクラブ,ノーザンファーム,栗毛,,2019. 1.20,4968万,セレクトセール,安平町
,220409,3中5,11,ニュージG2,モチベーション,,牝,3,3,秋山稔樹,11,10,11,ガルボ,アグネスデジタル,石川秀守,水丸牧場,鹿毛,,2019. 5. 2,,,新ひだか町
,220409,3中5,11,ニュージG2,ベルウッドブラボー,,牡,3,6,丸山元気,9,11,11,シルバーステート,ヨハネスブルグ,蓑島竜一,チェスナットファーム,鹿毛,,2019. 3. 5,1485万,北海道セレクションセール,浦河町
,210410,3中5,11,ニュージG2,バスラットレオン,,牡,3,6,藤岡佑介,2,１,16,キズナ,"New Approach",広尾レース,三嶋牧場,鹿毛,,2018. 3.25,,,浦河町
,210410,3中5,11,ニュージG2,タイムトゥヘヴン,,牡,3,5,Ｍ．デム,3,２,16,ロードカナロア,アドマイヤベガ,DMMドリームクラブ,オリオンファーム,鹿毛,,2018. 2. 3,,,日高町
,210410,3中5,11,ニュージG2,シティレインボー,,牡,3,8,横山典弘,11,３,16,エピファネイア,フジキセキ,深見富朗,三嶋牧場,栗毛,,2018. 3.29,,,浦河町
,210410,3中5,11,ニュージG2,ヴィジュネル,,牡,3,5,内田博幸,8,４,16,マクフィ,サンデーサイレンス,キャロットファーム,社台コーポレーション白老ファーム,青鹿,,2018. 5.19,,,白老町
,210410,3中5,11,ニュージG2,シュバルツカイザー,,牡,3,4,石川裕紀,10,５,16,"Dark Angel",Nashwan,ゴドルフィン,"Ross Moorhead",芦毛,(外),2018. 2.17,,,愛
,210410,3中5,11,ニュージG2,ゴールドチャリス,,牝,3,7,田中勝春,15,６,16,トゥザワールド,"Rainbow Quest",フィールドレーシング,ノーザンファーム,鹿毛,,2018. 3. 6,2268万,セレクトセール,安平町
,210410,3中5,11,ニュージG2,ワザモノ,,牡,3,5,黛弘人,9,７,16,マツリダゴッホ,ショウナンカンプ,ノルマンディーサラブレッドレーシング,岡田スタツド,鹿毛,,2018. 2. 8,,,新ひだか町
,210410,3中5,11,ニュージG2,ロンギングバース,,牡,3,7,横山和生,14,８,16,ラブリーデイ,ネオユニヴァース,坂本浩一,細川農場,鹿毛,,2018. 3.15,,,新冠町
,210410,3中5,11,ニュージG2,スパークル,,牝,3,5,岩田望来,6,９,16,エピファネイア,ネオユニヴァース,R.アンダーソン,ノーザンファーム,鹿毛,,2018. 2.24,3888万,セレクトセール,安平町
,210410,3中5,11,ニュージG2,ブルーシンフォニー,,牡,3,5,丸山元気,12,10,16,スクリーンヒーロー,コマンズ,ゴドルフィン,ダーレー・ジャパン・ファーム,鹿毛,,2018. 3.27,,,日高町
,210410,3中5,11,ニュージG2,ドゥラモンド,,牡,3,4,横山武史,5,11,16,ドゥラメンテ,Include,シルクレーシング,ノーザンファーム,黒鹿,,2018. 2. 1,,,安平町
,210410,3中5,11,ニュージG2,トーセンウォーリア,,牡,3,11,武藤雅,16,12,16,ドゥラメンテ,フレンチデピュティ,島川隆哉,社台ファーム,鹿毛,(地),2018. 2.11,4536万,セレクトセール,千歳市
,210410,3中5,11,ニュージG2,ワーズワース,,牡,3,2,北村宏司,7,13,16,リオンディーズ,"Dylan Thomas",カナヤマホールディングス,谷岡牧場,黒鹿,,2018. 4. 1,,,新ひだか町
,210410,3中5,11,ニュージG2,ゲンパチミーティア,,牡,3,6,木幡巧也,13,14,16,ロードカナロア,シンボリクリスエス,平野武志,上村清志,鹿毛,,2018. 3.12,,,新ひだか町
,210410,3中5,11,ニュージG2,アヴェラーレ,,牝,3,2,ルメール,1,15,16,ドゥラメンテ,"Harlan's Holiday",シルクレーシング,ノーザンファーム,鹿毛,,2018. 3.29,,,安平町
,210410,3中5,11,ニュージG2,サトノブラーヴ,,牡,3,1,石橋脩,4,16,16,オルフェーヴル,クロフネ,里見治,ノーザンファーム,芦毛,,2018. 2. 7,8208万,セレクトセール,安平町
,200411,3中5,11,ニュージG2,ルフトシュトローム,,牡,3,2,石橋脩,2,１,16,キンシャサノキセキ,キングカメハメハ,サンデーレーシング,ノーザンファーム,鹿毛,,2017. 1.31,,,安平町
,200411,3中5,11,ニュージG2,シーズンズギフト,,牝,3,3,津村明秀,5,２,16,エピファネイア,ゼンノロブロイ,キャロットファーム,ノーザンファーム,青鹿,,2017. 2.22,,,安平町
,200411,3中5,11,ニュージG2,ウイングレイテスト,,牡,3,5,横山武史,7,３,16,スクリーンヒーロー,サクラユタカオー,ウイン,コスモヴューファーム,栗毛,,2017. 3.31,,,新冠町
,200411,3中5,11,ニュージG2,アブソルティスモ,,牡,3,6,北村宏司,9,４,16,ダイワメジャー,シンボリクリスエス,キャロットファーム,ノーザンファーム,黒鹿,,2017. 1.20,,,安平町
,200411,3中5,11,ニュージG2,ソウルトレイン,,牡,3,6,田辺裕信,8,５,16,レッドスパーダ,チチカステナンゴ,安原浩司,フジワラフアーム,芦毛,,2017. 4.21,,,新ひだか町
,200411,3中5,11,ニュージG2,ハーモニーマゼラン,,牡,3,8,大野拓弥,3,６,16,ダイワメジャー,"Sea The Stars",日下部勝徳,笠松牧場,鹿毛,,2017. 2. 6,3240万,北海道セレクションセール,浦河町
,200411,3中5,11,ニュージG2,オーロラフラッシュ,,牝,3,6,ルメール,1,７,16,Frankel,"Danehill Dancer",嶋田賢,"Diamond Creek Farm",鹿毛,(外),2017. 2. 6,,,愛
,200411,3中5,11,ニュージG2,コウソクスピード,,牡,3,4,丸山元気,12,８,16,ヴィクトワールピサ,キングカメハメハ,野崎昭夫,レイクヴィラファーム,青鹿,,2017. 4.17,3456万,セレクトセール,洞爺湖町
,200411,3中5,11,ニュージG2,グレイトホーン,,牡,3,6,野中悠太,16,９,16,アルデバラン2,エンパイアメーカー,犬塚悠治郎,日本中央競馬会日高育成牧場,鹿毛,,2017. 4.13,2700万,ＪＲＡブリーズアップセール,浦河町
,200411,3中5,11,ニュージG2,マイネルグリット,,牡,3,6,国分優作,11,10,16,スクリーンヒーロー,ロージズインメイ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,栗毛,,2017. 3.21,,,新冠町
,200411,3中5,11,ニュージG2,シャチ,,牡,3,11,山田敬士,13,11,16,リアルインパクト,ブライアンズタイム,中村勝彦,松浦牧場,鹿毛,,2017. 5.27,,,新冠町
,200411,3中5,11,ニュージG2,フルートフルデイズ,,牝,3,9,木幡巧也,15,12,16,ブラックタイド,アフリート,飯田正剛,千代田牧場,黒鹿,,2017. 3. 5,,,新ひだか町
,200411,3中5,11,ニュージG2,カリオストロ,,牝,3,6,ヒューイ,4,13,16,エイシンフラッシュ,フジキセキ,"Him Rock Racingホールディングス",タバタファーム,鹿毛,,2017. 4.27,,,日高町
,200411,3中5,11,ニュージG2,ソングオブザハート,,牝,3,5,川又賢治,14,14,16,マジェスティックウォリアー,ダイワメジャー,幅田昌伸,ビクトリーホースランチ,鹿毛,,2017. 4. 3,,,浦河町
,200411,3中5,11,ニュージG2,ペールエール,,牡,3,4,北村友一,6,15,16,ダイワメジャー,Selkirk,林正道,ノーザンファーム,栗毛,,2017. 3.14,3888万,セレクトセール,安平町
,200411,3中5,11,ニュージG2,カフェサンドリヨン,,牝,3,4,内田博幸,10,16,16,ロードカナロア,マンハッタンカフェ,西川光一,三石橋本牧場,芦毛,,2017. 3. 5,,,新ひだか町
,190406,3中5,11,ニュージG2,ワイドファラオ,,牡,3,3,内田博幸,4,１,15,ヘニーヒューズ,アグネスタキオン,幅田昌伸,フジワラフアーム,栗毛,,2016. 4. 3,,,新ひだか町
,190406,3中5,11,ニュージG2,メイショウショウブ,,牝,3,6,横山典弘,3,２,15,ダイワメジャー,キングカメハメハ,松本好雄,三嶋牧場,栗毛,,2016. 3. 6,,,浦河町
,190406,3中5,11,ニュージG2,ヴィッテルスバッハ,,牡,3,4,戸崎圭太,2,３,15,ルーラーシップ,ディープインパクト,キャロットファーム,ノーザンファーム,鹿毛,,2016. 2.21,,,安平町
,190406,3中5,11,ニュージG2,アガラス,,牡,3,4,ルメール,1,４,15,ブラックタイド,ブラックホーク,サンデーレーシング,ノーザンファーム,青鹿,,2016. 3. 5,,,安平町
,190406,3中5,11,ニュージG2,ショーヒデキラ,,牡,3,7,野中悠太,11,５,15,ディープブリランテ,バゴ,吉冨学,日進牧場,鹿毛,,2016. 3.15,2160万,北海道セレクションセール,浦河町
,190406,3中5,11,ニュージG2,コスモカレンドゥラ,,牡,3,6,丹内祐次,10,６,15,ノヴェリスト,アグネスタキオン,ビッグレッドファーム,ビッグレッドファーム,栗毛,,2016. 4. 7,,,新冠町
,190406,3中5,11,ニュージG2,ココフィーユ,,牝,3,6,大野拓弥,8,７,15,ロードカナロア,サンデーサイレンス,スリーエイチレーシング,社台ファーム,鹿毛,,2016. 2. 2,864万,セレクトセール,千歳市
,190406,3中5,11,ニュージG2,アフランシール,,牝,3,5,田辺裕信,5,８,15,ハーツクライ,サクラバクシンオー,前田幸治,ノースヒルズ,鹿毛,,2016. 4.15,,,新冠町
,190406,3中5,11,ニュージG2,ミッキーブラック,,牡,3,5,松岡正海,9,９,15,ブラックタイド,"Lizard Island",野田みづき,ノーザンファーム,鹿毛,,2016. 3.18,6696万,セレクトセール,安平町
,190406,3中5,11,ニュージG2,カルリーノ,,牡,3,9,石川裕紀,6,10,15,マツリダゴッホ,ショウナンカンプ,Gリビエール・レーシング,松栄牧場,鹿毛,,2016. 5.16,,,浦河町
,190406,3中5,11,ニュージG2,グラナタス,,牡,3,6,三浦皇成,7,11,15,ロードカナロア,ファルブラヴ,サンデーレーシング,追分ファーム,鹿毛,,2016. 4. 8,,,安平町
,190406,3中5,11,ニュージG2,ホープフルサイン,,牡,3,5,江田照男,12,12,15,モンテロッソ,グラスワンダー,アドバンス・サッポロ,日進牧場,黒鹿,,2016. 3. 8,,,浦河町
,190406,3中5,11,ニュージG2,ダイシンインディー,,牡,3,6,武藤雅,13,13,15,ゴールドアリュール,"Storm Cat",大八木信行,佐藤牧場,栗毛,,2016. 2. 9,,,新冠町
,190406,3中5,11,ニュージG2,エリーバラード,,牝,3,5,武士沢友,14,14,15,アルデバラン2,キングカメハメハ,谷川正純,本田土寿,黒鹿,,2016. 2.26,378万,ＪＲＡブリーズアップセール,熊本県
,190406,3中5,11,ニュージG2,アンクルテイオウ,,牡,3,5,四位洋文,,外,15,ハービンジャー,ディープインパクト,塚本能交,ノーザンファーム,鹿毛,,2016. 2.23,5400万,セレクトセール,安平町
,180407,3中5,11,ニュージG2,カツジ,,牡,3,3,松山弘平,2,１,15,ディープインパクト,ホワイトマズル,カナヤマホールディングス,岡田スタツド,鹿毛,,2015. 4.27,,,新ひだか町
,180407,3中5,11,ニュージG2,ケイアイノーテック,,牡,3,5,戸崎圭太,1,２,15,ディープインパクト,"Smarty Jones",ケイアイスタリオン,隆栄牧場,鹿毛,,2015. 4. 7,,,新冠町
,180407,3中5,11,ニュージG2,デルタバローズ,,牡,3,2,大野拓弥,9,３,15,"Into Mischief","Hard Spun",猪熊広次,"John C. Oxley",鹿毛,(外),2015. 2. 4,,,米
,180407,3中5,11,ニュージG2,ゴールドギア,,牡,3,5,武藤雅,12,４,15,ロードカナロア,ゼンノロブロイ,有馬博文,三嶋牧場,黒鹿,,2015. 3. 1,,,浦河町
,180407,3中5,11,ニュージG2,アイスフィヨルド,,牡,3,9,北村宏司,7,５,15,クリストワイニング,ディープインパクト,佐々木雄二,浦河小林牧場,芦毛,,2015. 4.22,,,浦河町
,180407,3中5,11,ニュージG2,ファストアプローチ,,牡,3,6,田辺裕信,5,６,15,"Dawn Approach",Marju,山本英俊,ノーザンファーム,栗毛,,2015. 2.26,,,安平町
,180407,3中5,11,ニュージG2,カシアス,,牡,3,6,浜中俊,3,７,15,キンシャサノキセキ,"Dylan Thomas",カナヤマホールディングス,谷岡牧場,鹿毛,,2015. 3.27,,,新ひだか町
,180407,3中5,11,ニュージG2,リョーノテソーロ,,牡,3,4,吉田隼人,4,８,15,"Justin Phillip",Speightstown,了徳寺健二ホールディングス,"Highland Yard LLC",鹿毛,(外),2015. 2.27,,,米
,180407,3中5,11,ニュージG2,エントシャイデン,,牡,3,6,田中勝春,10,９,15,ディープインパクト,サクラバクシンオー,前田幸治,ノースヒルズ,芦毛,,2015. 4.21,,,新冠町
,180407,3中5,11,ニュージG2,コスモイグナーツ,,牡,3,8,柴田大知,11,10,15,エイシンフラッシュ,スペシャルウィーク,ビッグレッドファーム,高村牧場,青鹿,,2015. 2.24,2484万,北海道セレクションセール,浦河町
,180407,3中5,11,ニュージG2,カイザーメランジェ,,牡,3,9,黛弘人,15,11,15,サクラオリオン,サクラプレジデント,ライフエンタープライズ,谷岡スタット,鹿毛,,2015. 4.29,,,新ひだか町
,180407,3中5,11,ニュージG2,イサチルルンルン,,牝,3,7,国分恭介,13,12,15,パイロ,ハウスバスター,小坂功,小葉松幸雄,鹿毛,,2015. 4. 2,,,浦河町
,180407,3中5,11,ニュージG2,ラムセスバローズ,,牡,3,4,内田博幸,6,13,15,Curlin,"Dixie Union",猪熊広次,"Stonestreet Thoroughbred Holdings LLC",栗毛,(外),2015. 3.22,,,米
,180407,3中5,11,ニュージG2,ペイシャルアス,,牝,3,7,三浦皇成,14,14,15,ストロングリターン,タイキシャトル,北所直人,杵臼斉藤牧場,栗毛,,2015. 3.25,,,浦河町
,180407,3中5,11,ニュージG2,アンブロジオ,,牡,3,5,石橋脩,8,15,15,ローズキングダム,Songandaprayer,シルクレーシング,社台コーポレーション白老ファーム,栗毛,,2015. 3. 5,,,白老町
,170408,3中5,11,ニュージG2,ジョーストリクトリ,,牡,3,6,シュタル,12,１,16,ジョーカプチーノ,キングヘイロー,上田けい子,山際牧場,鹿毛,,2014. 4.17,,,新ひだか町
,170408,3中5,11,ニュージG2,メイソンジュニア,,牡,3,6,菱田裕二,8,２,16,Mayson,"American Post",カナヤマホールディングス,ノーザンファーム,鹿毛,,2014. 4.25,3132万,セレクトセール,安平町
,170408,3中5,11,ニュージG2,ボンセルヴィーソ,,牡,3,6,松山弘平,5,３,16,ダイワメジャー,サクラローレル,名古屋友豊,白井牧場,栗毛,,2014. 3. 8,,,日高町
,170408,3中5,11,ニュージG2,スズカゼ,,牝,3,8,吉田隼人,9,４,16,ディープブリランテ,アフリート,ヒダカ・ブリーダーズ・ユニオン,藤原牧場,鹿毛,,2014. 4.17,,,新ひだか町
,170408,3中5,11,ニュージG2,タイムトリップ,,牡,3,7,田辺裕信,6,５,16,ロードアルティマ,ホークアタック,中村祐子,鵜木唯義,黒鹿,,2014. 3.26,345万,北海道サマーセール,浦河町
,170408,3中5,11,ニュージG2,スズカメジャー,,牡,3,3,岩田康誠,2,６,16,ダイワメジャー,クロフネ,永井啓弍,グランド牧場,鹿毛,,2014. 2.16,3024万,セレクトセール,新ひだか町
,170408,3中5,11,ニュージG2,タイセイスターリー,,牡,3,4,内田博幸,4,７,16,マンハッタンカフェ,"Rock of Gibraltar",田中成奉,ノーザンファーム,鹿毛,,2014. 4. 9,9504万,セレクトセール,安平町
,170408,3中5,11,ニュージG2,クライムメジャー,,牡,3,4,川田将雅,1,８,16,ダイワメジャー,トニービン,シルクレーシング,レイクヴィラファーム,栗毛,,2014. 3.31,,,洞爺湖町
,170408,3中5,11,ニュージG2,ダイイチターミナル,,牡,3,7,大野拓弥,11,９,16,コンデュイット,ウイニングチケット,ミルファーム,ミルファーム,鹿毛,,2014. 4. 3,,,浦河町
,170408,3中5,11,ニュージG2,ナイトバナレット,,牡,3,6,中谷雄太,7,10,16,ディープブリランテ,"Favorite Trick",シルクレーシング,社台コーポレーション白老ファーム,芦毛,,2014. 5.11,,,白老町
,170408,3中5,11,ニュージG2,カリビアンゴールド,,牝,3,5,田中勝春,10,11,16,ステイゴールド,"Cape Cross",ゴドルフィン,ダーレー・ジャパン・ファーム,黒鹿,,2014. 2. 9,,,日高町
